"","OBP","SLG","BA","Playoffs.x","BatAge","Num.Bat","Num.P","WAR","RA.G","ERA","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"547",0.33,0.375,0.268,0,29.7,35,15,4.8,3.73,3.43,3.82,1.221,8.3,0.8,2.7,4.9,1.82,6.57407407407407,113,0.240740740740741,0.117283950617284,0.0864197530864197,0.037037037037037,4.5679012345679,92
"548",0.341,0.391,0.277,0,28.7,39,17,7.1,4.03,3.7,3.66,1.287,8.6,0.7,3,5.7,1.93,6.62962962962963,109,0.308641975308642,0.0987654320987654,0.0802469135802469,0.0493827160493827,4.61111111111111,90
"549",0.313,0.37,0.252,0,27.4,47,21,5.4,3.59,3.25,3.39,1.24,7.9,0.6,3.2,6.2,1.93,7.12345679012346,108,0.302469135802469,0.0679012345679012,0.0864197530864197,0.0308641975308642,4,87
"550",0.31,0.342,0.235,0,30,44,19,6.2,4.03,3.66,3.32,1.304,8.7,0.6,3,6.4,2.13,6.94444444444444,96,0.209876543209877,0.104938271604938,0.0802469135802469,0.0493827160493827,3.69753086419753,72
"551",0.328,0.406,0.261,0,28.3,40,19,6,4.6,4.21,4.1,1.422,9,0.8,3.8,5.3,1.39,7.11111111111111,93,0.271604938271605,0.123456790123457,0.0555555555555556,0.0246913580246914,4.52469135802469,76
"552",0.346,0.386,0.258,1,30.2,44,22,6.4,4.15,3.73,4.11,1.38,8.7,0.8,3.7,5.2,1.4,7.35185185185185,100,0.358024691358025,0.0493827160493827,0.0555555555555556,0.0185185185185185,4.59876543209877,96
"553",0.32,0.377,0.253,0,27.7,48,24,6.9,4.43,4.11,3.83,1.356,8.7,0.7,3.5,5.4,1.55,6.8641975308642,86,0.209876543209877,0.166666666666667,0.0432098765432099,0.0432098765432099,4.23456790123457,70
"554",0.324,0.381,0.255,1,28.7,43,21,9,3.67,3.35,3.51,1.26,8.6,0.6,2.8,5.1,1.85,6.96296296296296,104,0.265432098765432,0.123456790123457,0.123456790123457,0.0555555555555556,4.27777777777778,96
"555",0.313,0.386,0.255,0,28.4,39,17,6.2,3.93,3.56,3.39,1.289,8.9,0.7,2.7,6,2.21,6.85802469135802,101,0.283950617283951,0.0555555555555556,0.0679012345679012,0.037037037037037,3.80864197530864,82
"556",0.323,0.402,0.263,0,28.3,48,23,6.5,4.93,4.55,4.2,1.473,9.1,0.8,4.1,5.6,1.35,7.5,87,0.185185185185185,0.12962962962963,0.0555555555555556,0.0432098765432099,4.19135802469136,64
